customer_id,full_name,email,balance
1,Karen Al-Nusif,karen.al-nusif1@icloud.com,305.33
2,Aroha Shafodah,aroha.shafodah2@gmail.com,57.41
3,Thomas Mangal,thomas.mangal3@gmail.com,225.51
4,Sina Qemal,sina.qemal4@gmail.com,125.92
5,Jun Wei Usenov,jun wei.usenov5@icloud.com,480.64
6,Tamba Merkman,tamba.merkman6@yahoo.com,28.22
7,Sibusisiwe Ganchev,sibusisiwe.ganchev7@gmail.com,89.92
8,Christine Pranoto,christine.pranoto8@icloud.com,363.85
9,Erkki Toc,erkki.toc9@icloud.com,96.75
10,Olga Rana,olga.rana10@gmail.com,65.69
11,Huda Bellini,huda.bellini11@icloud.com,96.42
12,Grégoire Bos,grégoire.bos12@icloud.com,221.46
13,Roberto Yayra,roberto.yayra13@gmail.com,135.19
14,Florence Otieno,florence.otieno14@gmail.com,415.11
15,Pilar Poulsen,pilar.poulsen15@live.com,12.47
16,Panda Oshima,panda.oshima16@proton.me,204.91
17,Emilio Strömholm,emilio.strömholm17@icloud.com,191.36
18,Norberto McCoy,norberto.mccoy18@gmail.com,177.2
19,Yulianna Mazumdar,yulianna.mazumdar19@icloud.com,165.42
20,Zara Cvetanovski,zara.cvetanovski20@icloud.com,422.43
21,Salah Romney,salah.romney21@gmail.com,200.46
22,Nashipai Mohamed,nashipai.mohamed22@gmail.com,212.11
23,Anika Gache,anika.gache23@icloud.com,269.5
24,Essè Mani,essè.mani24@icloud.com,270.59
25,Allan Wolff,allan.wolff25@icloud.com,202.61
26,Sihem Yamashita,sihem.yamashita26@icloud.com,389.39
27,Olivér Al Serkal,olivér.al serkal27@icloud.com,240.76
28,Andrias Hassan,andrias.hassan28@gmail.com,115.79
29,Tingting Zurita,tingting.zurita29@gmail.com,268.37
30,Pasquale Araya,pasquale.araya30@gmail.com,247.46
31,Christopher Koch,christopher.koch31@gmail.com,18.64
32,Sonia Valmond,sonia.valmond32@gmail.com,285.85
33,Siphokazi Reeves,siphokazi.reeves33@gmail.com,393.95
34,Gabriella Koivogui,gabriella.koivogui34@gmail.com,163.78
35,Jasmine Boueiz,jasmine.boueiz35@gmail.com,460.85
36,Ella Teabuge,ella.teabuge36@icloud.com,378.28
37,Ama Kérékou,ama.kérékou37@verizon.net,74.53
38,Ronan Viscarra,ronan.viscarra38@outlook.com,392.27
39,Khama Hamlet,khama.hamlet39@gmail.com,385.82
40,Thanh Al-Huthi,thanh.al-huthi40@gmail.com,116.42
41,Inunnguaq Kelmendi,inunnguaq.kelmendi41@gmail.com,244.83
42,Zara Khan,zara.khan42@gmail.com,214.23
43,Younoussa Kéita,younoussa.kéita43@icloud.com,279.29
44,Sara Hale,sara.hale44@hotmail.com,208.96
45,Fawzia Yan,fawzia.yan45@me.com,225.26
46,Melika Jeewon,melika.jeewon46@gmail.com,264.72
47,Derek Baker,derek.baker47@gmail.com,187.96
48,Camilo Mukakalisa,camilo.mukakalisa48@gmail.com,102.87
